"BehaviorSpace results (NetLogo 5.3.1)"
"Paleoscape_v4.2.nlogo"
"experiment"
"04/07/2017 13:28:45:324 -0700"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"0","779","0","539"
"[run number]","1"
"vision-forager","10"
"map-zone","""full"""
"global-knowledge?","true"
"hunter-percent","0.5"
"daily-time-budget","5.9"
"walk-speed","2"
"discount_rate","0.1"
"nragents","30"
"max_kcal_to_harvest","3000"
"forager-movement","""local-patch-choice"""
"plots?","true"
"nrcamps","25"
"vision-camp","50"
"spatial-foresight","true"
"days_of_foresight","1"
"display-mode","""time-replenished"""
"camp-move-threshold","1500"
"[steps]","20"

"[initial & final values]","count turtles"
,"775"
