"BehaviorSpace results (NetLogo 5.3.1)"
"Paleoscape_v4.2.nlogo"
"experiment1"
"04/11/2017 10:45:52:036 -0700"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"0","779","0","539"
"[run number]","walk-speed","map-zone","nragents","max_kcal_to_harvest","days_of_foresight","plots?","vision-camp","display-mode","global-knowledge?","discount_rate","daily-time-budget","nrcamps","spatial-foresight","vision-forager","camp-move-threshold","hunter-percent","forager-movement","[step]","kcal-avg","sum [times-harvested * kcal_return] of patches with [vt = 1]","sum [times-harvested * kcal_return] of patches with [vt = 2]","sum [times-harvested * kcal_return] of patches with [vt = 3]","sum [times-harvested * kcal_return] of patches with [vt = 4]","sum [times-harvested * kcal_return] of patches with [vt = 5]","sum [times-harvested * kcal_return] of patches with [vt = 6]","sum [times-harvested * kcal_return] of patches with [vt = 7]","sum [times-harvested * kcal_return] of patches with [vt = 8]","sum [times-harvested * kcal_return] of patches with [vt = 9]","sum [times-harvested * kcal_return] of patches with [vt = 10]","sum [times-harvested * kcal_return] of patches with [vt = 11]","sum [times-harvested * kcal_return] of patches with [vt >= 12]","mean [days_without] of camps / ticks","mean [days_without] of agents / ticks","timer"
"3","2","""full""","30","3000","1","false","50","""time-replenished""","true","0.1","5.9","30","true","10","1500","0.5","""local-patch-choice""","365","7537.756514735948","1010000","23630360","39506400","0","14378500","153497246","0","1934900","19356012","6880250","776700","5500","0.0021004566210045665","0.5717047184170472","5110.381"
"2","2","""full""","30","3000","1","false","50","""time-replenished""","true","0.1","5.9","30","true","10","1500","0.5","""local-patch-choice""","365","6507.423527768009","1132000","12180000","33495600","0","13279900","157578092","0","2454600","24676704","13485000","753450","3710300","0.003105022831050228","0.5783592085235921","5126.601"
"4","2","""full""","30","3000","1","false","50","""time-replenished""","true","0.1","5.9","30","true","10","1500","0.5","""local-patch-choice""","365","6281.06356643274","280000","11181240","22590000","0","9539500","187715850","0","1629400","18155592","0","0","135300","0.0026484018264840183","0.5762374429223744","5192.856"
"1","2","""full""","30","3000","1","false","50","""time-replenished""","true","0.1","5.9","30","true","10","1500","0.5","""local-patch-choice""","365","7368.731389489923","1040000","21767400","30811200","0","16711000","142829610","0","1840600","18336708","6775850","499350","13076800","0.0033789954337899546","0.5831050228310503","5311.244"
"6","2","""full""","30","3000","1","false","50","""time-replenished""","true","0.1","5.9","20","true","10","1500","0.5","""local-patch-choice""","365","6910.437898486552","1580000","16151840","39301200","0","9961500","109516498","0","2119200","9892116","4216600","69300","0","0","0.539324200913242","832.489"
"7","2","""full""","30","3000","1","false","50","""time-replenished""","true","0.1","5.9","20","true","10","1500","0.5","""local-patch-choice""","365","7714.500952972483","1262000","24610560","27890400","0","9644100","101337432","0","1514200","9648756","8769600","252300","3525500","0.002465753424657534","0.5458721461187215","820.657"
"8","2","""full""","30","3000","1","false","50","""time-replenished""","true","0.1","5.9","20","true","10","1500","0.5","""local-patch-choice""","365","5372.947531812483","24000","0","40752000","0","6169100","135161544","0","669900","18518760","2900","5700","13707100","1.3698630136986303E-4","0.5447168949771689","1113.445"
"5","2","""full""","30","3000","1","false","50","""time-replenished""","true","0.1","5.9","30","true","10","1500","0.5","""local-patch-choice""","365","8230.709736487943","1056000","26214840","63778800","0","17405700","131841066","0","2444500","15057432","60900","150","0","6.392694063926941E-4","0.56758599695586","1351.276"
"12","2","""full""","30","3000","1","false","50","""time-replenished""","true","0.1","5.9","10","true","10","1500","0.5","""local-patch-choice""","365","5670.020554408594","0","3948640","20707200","0","4660800","63876022","0","382500","2719548","1744350","386700","886600","0","0.5320913242009132","499.248"
"9","2","""full""","30","3000","1","false","50","""time-replenished""","true","0.1","5.9","20","true","10","1500","0.5","""local-patch-choice""","365","6940.654892935709","1672000","2971920","54471600","0","8552300","114042936","0","1587700","7248852","13253000","139350","544500","0.0027397260273972603","0.5796986301369863","1011.613"
"11","2","""full""","30","3000","1","false","50","""time-replenished""","true","0.1","5.9","10","true","10","1500","0.5","""local-patch-choice""","365","7065.335571387679","360000","5333680","3057600","0","3709300","59797220","0","340400","15580188","0","645600","0","0.002465753424657534","0.56262100456621","574.102"
"10","2","""full""","30","3000","1","false","50","""time-replenished""","true","0.1","5.9","20","true","10","1500","0.5","""local-patch-choice""","365","7333.788313223107","452000","13004760","11738400","0","10951900","129918684","0","1532000","10842624","6339400","361050","8268700","0.0010958904109589042","0.5535296803652968","1020.085"
"14","2","""full""","30","3000","1","false","50","""time-replenished""","true","0.1","5.9","10","true","10","1500","0.5","""local-patch-choice""","365","10351.679357568073","854000","20464720","13242000","0","3128600","53792970","0","1265100","4235400","667000","14100","446600","0","0.51737899543379","456.322"
"13","2","""full""","30","3000","1","false","50","""time-replenished""","true","0.1","5.9","10","true","10","1500","0.5","""local-patch-choice""","365","6442.679060664354","0","0","2382000","0","3930300","57857464","0","0","21410532","884500","1056900","2785200","8.21917808219178E-4","0.5678356164383561","542.051"
"15","2","""full""","30","3000","1","false","50","""time-replenished""","true","0.1","5.9","10","true","10","1500","0.5","""local-patch-choice""","365","7028.255968196167","4000","1936040","23235600","0","7067500","29327312","0","421100","7098624","0","0","7067500","0.004657534246575342","0.6248401826484018","600.303"
"16","2","""full""","30","3000","5","false","50","""time-replenished""","true","0.1","5.9","30","true","10","1500","0.5","""local-patch-choice""","365","7303.28203401508","1822000","16738800","60631200","0","9169900","101720682","0","866900","17256564","19187850","1118700","12793000","0.0010958904109589042","0.5786362252663623","1444.138"
