"BehaviorSpace results (NetLogo 5.3.1)"
"Paleoscape_v4.2.nlogo"
"experiment2"
"04/07/2017 18:31:38:782 -0700"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"0","779","0","539"
"[run number]","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1"
"walk-speed","2",,,,,,,,,,,,,,,
"map-zone","""full""",,,,,,,,,,,,,,,
"nragents","30",,,,,,,,,,,,,,,
"max_kcal_to_harvest","3000",,,,,,,,,,,,,,,
"days_of_foresight","1",,,,,,,,,,,,,,,
"plots?","false",,,,,,,,,,,,,,,
"vision-camp","50",,,,,,,,,,,,,,,
"display-mode","""time-replenished""",,,,,,,,,,,,,,,
"global-knowledge?","true",,,,,,,,,,,,,,,
"discount_rate","0.1",,,,,,,,,,,,,,,
"daily-time-budget","5.9",,,,,,,,,,,,,,,
"nrcamps","25",,,,,,,,,,,,,,,
"spatial-foresight","true",,,,,,,,,,,,,,,
"vision-forager","10",,,,,,,,,,,,,,,
"camp-move-threshold","1500",,,,,,,,,,,,,,,
"hunter-percent","0.5",,,,,,,,,,,,,,,
"forager-movement","""local-patch-choice""",,,,,,,,,,,,,,,
"[steps]","3650","3650","3650","3650","3650","3650","3650","3650","3650","3650","3650","3650","3650","3650","3650","3650"

"[initial & final values]","kcal-avg","sum [times-harvested * kcal_return] of patches with [vt = 1]","sum [times-harvested * kcal_return] of patches with [vt = 2]","sum [times-harvested * kcal_return] of patches with [vt = 3]","sum [times-harvested * kcal_return] of patches with [vt = 4]","sum [times-harvested * kcal_return] of patches with [vt = 5]","sum [times-harvested * kcal_return] of patches with [vt = 6]","sum [times-harvested * kcal_return] of patches with [vt = 7]","sum [times-harvested * kcal_return] of patches with [vt = 8]","sum [times-harvested * kcal_return] of patches with [vt = 9]","sum [times-harvested * kcal_return] of patches with [vt = 10]","sum [times-harvested * kcal_return] of patches with [vt = 11]","sum [times-harvested * kcal_return] of patches with [vt >= 12]","mean [days_without] of camps / ticks","mean [days_without] of agents / ticks","timer"
,"7040.252913181225","0","60339720","87784800","0","121545300","1266225296","0","17842500","107495388","0","0","0","0.002421917808219178","0.6109508675799087","17514.461"
