"BehaviorSpace results (NetLogo 5.3.1)"
"Paleoscape_v4.2.nlogo"
"experiment3"
"04/12/2017 17:37:27:313 -0700"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"0","779","0","539"
"[run number]","walk-speed","map-zone","nragents","max_kcal_to_harvest","days_of_foresight","plots?","vision-camp","display-mode","global-knowledge?","discount_rate","daily-time-budget","nrcamps","spatial-foresight","vision-forager","camp-move-threshold","hunter-percent","forager-movement","[step]","kcal-avg","sum [times-harvested * kcal_return] of patches with [vt = 1]","sum [times-harvested * kcal_return] of patches with [vt = 2]","sum [times-harvested * kcal_return] of patches with [vt = 3]","sum [times-harvested * kcal_return] of patches with [vt = 4]","sum [times-harvested * kcal_return] of patches with [vt = 5]","sum [times-harvested * kcal_return] of patches with [vt = 6]","sum [times-harvested * kcal_return] of patches with [vt = 7]","sum [times-harvested * kcal_return] of patches with [vt = 8]","sum [times-harvested * kcal_return] of patches with [vt = 9]","sum [times-harvested * kcal_return] of patches with [vt = 10]","sum [times-harvested * kcal_return] of patches with [vt = 11]","sum [times-harvested * kcal_return] of patches with [vt >= 12]","mean [days_without] of camps / ticks","mean [days_without] of agents / ticks","timer","mean [distance min-one-of patches with [goodcoast? = true] [distance myself]] of camps"
"1","2","""full""","30","3000","1","false","50","""time-replenished""","true","0.1","5.9","20","true","10","1500","0.5","""local-patch-choice""","0","0","0","0","0","0","0","0","0","0","0","0","0","0","<EngineException>","<EngineException>","2.237","214.96383683407853"
"1","2","""full""","30","3000","1","false","50","""time-replenished""","true","0.1","5.9","20","true","10","1500","0.5","""local-patch-choice""","1","10493.233928943033","960000","4062320","12756000","0","4015100","24185630","0","172600","788580","0","40950","622600","0","0.33666666666666667","43.92","213.93773176883946"
"1","2","""full""","30","3000","1","false","50","""time-replenished""","true","0.1","5.9","20","true","10","1500","0.5","""local-patch-choice""","2","11009.015473535967","1108000","7923960","20230800","0","5260200","28094780","0","352300","914004","0","73650","1179200","0","0.4121944444444444","92.822","213.93773176883946"
"1","2","""full""","30","3000","1","false","50","""time-replenished""","true","0.1","5.9","20","true","10","1500","0.5","""local-patch-choice""","3","9861.065931989711","1166000","11225320","23805600","0","6039600","30511810","0","656800","3153852","2900","106950","1732500","5.555555555555556E-4","0.45564814814814814","145.6","213.93773176883946"
"1","2","""full""","30","3000","1","false","50","""time-replenished""","true","0.1","5.9","20","true","10","1500","0.5","""local-patch-choice""","4","10357.37998093091","1218000","14273800","26500800","0","6715500","33788342","0","952100","4290156","2900","141000","2267100","4.166666666666667E-4","0.48230555555555554","200.167","213.93773176883946"
"1","2","""full""","30","3000","1","false","50","""time-replenished""","true","0.1","5.9","20","true","10","1500","0.5","""local-patch-choice""","5","11112.887913769799","1256000","16974280","28401600","0","7273600","38396540","0","1346700","4583124","2900","177150","2825900","6.666666666666668E-4","0.5027555555555555","257.038","213.93773176883946"
"1","2","""full""","30","3000","1","false","50","""time-replenished""","true","0.1","5.9","20","true","10","1500","0.5","""local-patch-choice""","6","9951.096335450024","1274000","19489160","30124800","0","7785000","40920880","0","1620700","4801680","2900","211650","3379200","0.001388888888888889","0.5201018518518519","315.258","213.9377317688395"
"1","2","""full""","30","3000","1","false","50","""time-replenished""","true","0.1","5.9","20","true","10","1500","0.5","""local-patch-choice""","7","9459.211876708463","1292000","21758120","31500000","0","8263600","43522892","0","1795700","4966884","2900","246450","3934700","0.0026190476190476194","0.5352380952380953","375.513","213.93773176883946"
"1","2","""full""","30","3000","1","false","50","""time-replenished""","true","0.1","5.9","20","true","10","1500","0.5","""local-patch-choice""","8","10626.335497791866","1302000","23650080","32860800","0","8726600","46386536","0","1950300","5128812","2900","281700","4499000","0.003125","0.5481944444444444","437.507","213.93773176883946"
"1","2","""full""","30","3000","1","false","50","""time-replenished""","true","0.1","5.9","20","true","10","1500","0.5","""local-patch-choice""","9","9076.67849126719","1318000","25239280","34131600","0","9140600","48648222","0","2073600","5241132","2900","316950","5056700","0.0033333333333333335","0.5604135802469136","500.684","213.93773176883946"
"1","2","""full""","30","3000","1","false","50","""time-replenished""","true","0.1","5.9","20","true","10","1500","0.5","""local-patch-choice""","10","9892.104202691933","1340000","26574440","35286000","0","9539700","50920128","0","2181600","5390424","2900","351450","5608900","0.0031666666666666666","0.5713944444444444","564.095","213.9377317688395"
"1","2","""full""","30","3000","1","false","50","""time-replenished""","true","0.1","5.9","20","true","10","1500","0.5","""local-patch-choice""","11","10445.374807894415","1344000","27763440","36416400","0","9902600","52744398","0","2283200","5510232","5800","386100","6187500","0.003181818181818182","0.5816515151515151","628.259","213.93773176883946"
"1","2","""full""","30","3000","1","false","50","""time-replenished""","true","0.1","5.9","20","true","10","1500","0.5","""local-patch-choice""","12","10152.738685641158","1352000","28776120","37480800","0","10279600","54440918","0","2362400","5635188","5800","421050","6747400","0.003333333333333333","0.5910462962962963","692.689","213.93773176883946"
"1","2","""full""","30","3000","1","false","50","""time-replenished""","true","0.1","5.9","20","true","10","1500","0.5","""local-patch-choice""","13","11402.726664513928","2290000","32090240","47156400","0","13363700","74981074","0","2515900","6268860","5800","453150","7305100","0.003076923076923077","0.5758888888888889","737.206","213.93773176883943"
"1","2","""full""","30","3000","1","false","50","""time-replenished""","true","0.1","5.9","20","true","10","1500","0.5","""local-patch-choice""","14","10292.328474317113","2416000","35961160","54163200","0","14515200","78983226","0","2686900","6469632","5800","489000","7862800","0.002857142857142857","0.5698968253968254","786.68","213.93773176883946"
"1","2","""full""","30","3000","1","false","50","""time-replenished""","true","0.1","5.9","20","true","10","1500","0.5","""local-patch-choice""","15","10069.291562995637","2470000","39257880","56726400","0","15132400","80684856","0","2890700","7703748","8700","523950","8449100","0.0026666666666666666","0.569174074074074","840.271","213.9377317688395"
"1","2","""full""","30","3000","1","false","50","""time-replenished""","true","0.1","5.9","20","true","10","1500","0.5","""local-patch-choice""","16","9508.723932008304","2506000","42058120","58416000","0","15607400","82587820","0","3132400","9040824","8700","558900","9026600","0.0025","0.5706597222222223","896.097","213.9377317688395"
"1","2","""full""","30","3000","1","false","50","""time-replenished""","true","0.1","5.9","20","true","10","1500","0.5","""local-patch-choice""","17","9724.336979091928","2572000","44651880","59811600","0","16126900","86617566","0","3400500","9836424","8700","593850","9571100","0.0025490196078431374","0.5721764705882353","953.61","213.93773176883946"
"1","2","""full""","30","3000","1","false","50","""time-replenished""","true","0.1","5.9","20","true","10","1500","0.5","""local-patch-choice""","18","9800.827953831453","2598000","47064680","60873600","0","16513000","89079564","0","3682100","9993672","11600","630000","10121100","0.0025","0.5745987654320989","1012.862","213.93773176883946"
"1","2","""full""","30","3000","1","false","50","""time-replenished""","true","0.1","5.9","20","true","10","1500","0.5","""local-patch-choice""","19","9788.727651180388","2624000","49189800","61902000","0","16869500","91180796","0","3846600","10137348","11600","665250","10694200","0.002719298245614035","0.577859649122807","1073.71","213.93773176883946"
"1","2","""full""","30","3000","1","false","50","""time-replenished""","true","0.1","5.9","20","true","10","1500","0.5","""local-patch-choice""","20","10251.473776294672","2652000","51117720","62856000","0","17238200","93363788","0","3971000","10259964","11600","700050","11238700","0.002666666666666667","0.5812083333333333","1135.832","213.93773176883946"
"1","2","""full""","30","3000","1","false","50","""time-replenished""","true","0.1","5.9","20","true","10","1500","0.5","""local-patch-choice""","21","10464.01600209015","2662000","52697640","63692400","0","17550200","95463998","0","4062800","10371816","11600","736500","11812900","0.002857142857142857","0.5851455026455026","1198.942","213.9377317688395"
"1","2","""full""","30","3000","1","false","50","""time-replenished""","true","0.1","5.9","20","true","10","1500","0.5","""local-patch-choice""","22","9143.057241399209","2682000","54085000","64473600","0","17906100","97035834","0","4166800","10479924","13050","772650","12364000","0.0028787878787878787","0.5893055555555555","1262.983","213.93773176883946"
"1","2","""full""","30","3000","1","false","50","""time-replenished""","true","0.1","5.9","20","true","10","1500","0.5","""local-patch-choice""","23","10595.498254617858","2688000","55342440","65259600","0","18223800","98645484","0","4246100","10581948","14500","808950","12934900","0.0029710144927536227","0.5934661835748792","1327.122","213.9377317688395"
"1","2","""full""","30","3000","1","false","50","""time-replenished""","true","0.1","5.9","20","true","10","1500","0.5","""local-patch-choice""","24","10219.039430923493","2696000","56415440","66140400","0","18535200","100379818","0","4346400","10684908","14500","844350","13498100","0.003194444444444444","0.5975648148148148","1392.026","213.93773176883946"
"1","2","""full""","30","3000","1","false","50","""time-replenished""","true","0.1","5.9","20","true","10","1500","0.5","""local-patch-choice""","25","11561.146744440575","3572000","59110120","73974000","0","21166700","118418118","0","4480200","11324196","14500","877800","14054700","0.0031333333333333335","0.5916244444444444","1441.584","213.93773176883946"
"1","2","""full""","30","3000","1","false","50","""time-replenished""","true","0.1","5.9","20","true","10","1500","0.5","""local-patch-choice""","26","10029.475247146209","3710000","63028600","81979200","0","22675200","124744298","0","4673300","11559600","15950","915600","14627800","0.003012820512820513","0.5865662393162393","1490.11","213.93773176883946"
"1","2","""full""","30","3000","1","false","50","""time-replenished""","true","0.1","5.9","20","true","10","1500","0.5","""local-patch-choice""","27","9493.96164755231","3782000","66415800","85288800","0","23287600","126543018","0","4851600","12058956","15950","948450","15188800","0.0029012345679012346","0.5853950617283951","1543.509","213.93773176883946"
"1","2","""full""","30","3000","1","false","50","""time-replenished""","true","0.1","5.9","20","true","10","1500","0.5","""local-patch-choice""","28","10716.876112915832","3808000","69210240","86880000","0","23806200","128221142","0","5107000","14252472","15950","983550","15739900","0.002857142857142857","0.5853035714285714","1599.371","213.9377317688395"
"1","2","""full""","30","3000","1","false","50","""time-replenished""","true","0.1","5.9","20","true","10","1500","0.5","""local-patch-choice""","29","9955.332235275382","3834000","71749480","88252800","0","24299300","132083280","0","5335800","14804244","15950","1020300","16320700","0.0028735632183908046","0.5860785440613027","1657.284","213.93773176883946"
"1","2","""full""","30","3000","1","false","50","""time-replenished""","true","0.1","5.9","20","true","10","1500","0.5","""local-patch-choice""","30","11244.363474915644","3870000","74105440","89185200","0","24687500","134779316","0","5625700","15183792","15950","1055100","16889400","0.003","0.5871111111111111","1716.254","213.93773176883946"
"1","2","""full""","30","3000","1","false","50","""time-replenished""","true","0.1","5.9","20","true","10","1500","0.5","""local-patch-choice""","31","11004.488683857782","3898000","76366280","90189600","0","25080700","136757908","0","5823900","15372396","24650","1092300","17439400","0.003064516129032258","0.5884462365591397","1776.46","213.93773176883946"
"1","2","""full""","30","3000","1","false","50","""time-replenished""","true","0.1","5.9","20","true","10","1500","0.5","""local-patch-choice""","32","10862.714807634697","3922000","78238520","91153200","0","25431500","138716060","0","5937800","15452892","24650","1128600","17990500","0.003072916666666667","0.5904409722222222","1838.211","213.93773176883946"
"1","2","""full""","30","3000","1","false","50","""time-replenished""","true","0.1","5.9","20","true","10","1500","0.5","""local-patch-choice""","33","9505.281697458107","3942000","79948360","92188800","0","25791200","140668080","0","6034500","15527304","24650","1163550","18544900","0.0031313131313131315","0.5924612794612795","1901.222","213.93773176883946"
"1","2","""full""","30","3000","1","false","50","""time-replenished""","true","0.1","5.9","20","true","10","1500","0.5","""local-patch-choice""","34","10568.525116320092","3968000","81297440","93285600","0","26081500","142223564","0","6124300","15691104","27550","1198500","19090500","0.003284313725490196","0.5949150326797387","1965.374","213.9377317688395"
"1","2","""full""","30","3000","1","false","50","""time-replenished""","true","0.1","5.9","20","true","10","1500","0.5","""local-patch-choice""","35","9713.559605017732","3984000","82640720","94113600","0","26400600","143518438","0","6218300","15801084","29000","1233900","19648200","0.0031904761904761906","0.5975968253968255","2029.164","213.93773176883946"
