"BehaviorSpace results (NetLogo 5.3.1)"
"Paleoscape_v4.2.nlogo"
"experiment4"
"04/13/2017 16:45:54:155 -0700"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"0","299","0","199"
"[run number]","walk-speed","map-zone","nragents","max_kcal_to_harvest","days_of_foresight","plots?","vision-camp","display-mode","global-knowledge?","discount_rate","daily-time-budget","nrcamps","spatial-foresight","vision-forager","camp-move-threshold","hunter-percent","forager-movement","[step]","kcal-avg","sum [times-harvested * kcal_return] of patches with [vt = 1]","sum [times-harvested * kcal_return] of patches with [vt = 2]","sum [times-harvested * kcal_return] of patches with [vt = 3]","sum [times-harvested * kcal_return] of patches with [vt = 4]","sum [times-harvested * kcal_return] of patches with [vt = 5]","sum [times-harvested * kcal_return] of patches with [vt = 6]","sum [times-harvested * kcal_return] of patches with [vt = 7]","sum [times-harvested * kcal_return] of patches with [vt = 8]","sum [times-harvested * kcal_return] of patches with [vt = 9]","sum [times-harvested * kcal_return] of patches with [vt = 10]","sum [times-harvested * kcal_return] of patches with [vt = 11]","sum [times-harvested * kcal_return] of patches with [vt >= 12]","timer","tideday","sum [time-foraged-here] of patches with [vt = 1]","sum [time-foraged-here] of patches with [vt = 2]","sum [time-foraged-here] of patches with [vt = 3]","sum [time-foraged-here] of patches with [vt = 4]","sum [time-foraged-here] of patches with [vt = 5]","sum [time-foraged-here] of patches with [vt = 6]","sum [time-foraged-here] of patches with [vt = 8]","sum [time-foraged-here] of patches with [vt = 9]","sum [time-foraged-here] of patches with [vt = 10]","sum [time-foraged-here] of patches with [vt = 11]","sum [time-foraged-here] of patches with [vt = 12]","sum [time-foraged-here] of patches with [vt > 12]"
"1","2","""full""","30","3000","1","false","50","""time-replenished""","true","0.1","5.9","20","true","10","1500","0.5","""local-patch-choice""","0","0","0","0","0","0","0","0","0","0","0","0","0","0","3.341","0","0","0","0","0","0","0","0","0","0","0","0","0"
"1","2","""full""","30","3000","1","false","50","""time-replenished""","true","0.1","5.9","20","true","10","1500","0.5","""local-patch-choice""","1","8014.115604703549","0","52200","387600","0","305500","2000054","0","44400","8892","0","0","14300","7.087","1","0","45","323","0","3055","1957","444","19","0","0","10","3"
"1","2","""full""","30","3000","1","false","50","""time-replenished""","true","0.1","5.9","20","true","10","1500","0.5","""local-patch-choice""","2","9458.25239668475","0","156600","777600","0","414700","5188694","0","45800","14040","0","0","23100","8.756","2","0","135","648","0","4147","5077","458","30","0","0","18","3"
"1","2","""full""","30","3000","1","false","50","""time-replenished""","true","0.1","5.9","20","true","10","1500","0.5","""local-patch-choice""","3","10165.233518822462","0","261000","1167600","0","546100","8193374","0","47500","23868","0","0","33000","10.488","3","0","225","973","0","5461","8017","475","51","0","0","25","5"
"1","2","""full""","30","3000","1","false","50","""time-replenished""","true","0.1","5.9","20","true","10","1500","0.5","""local-patch-choice""","4","10002.893682957505","0","365400","1441200","0","748300","10760638","0","48000","80496","0","0","37400","12.126","4","0","315","1201","0","7483","10529","480","172","0","0","26","8"
"1","2","""full""","30","3000","1","false","50","""time-replenished""","true","0.1","5.9","20","true","10","1500","0.5","""local-patch-choice""","5","9826.652611483441","0","469800","1650000","0","965200","13286000","0","54800","103428","0","0","48400","13.835","5","0","405","1375","0","9652","13000","548","221","0","0","26","18"
"1","2","""full""","30","3000","1","false","50","""time-replenished""","true","0.1","5.9","20","true","10","1500","0.5","""local-patch-choice""","6","9502.906242946818","0","574200","1795200","0","1206400","15652952","0","55200","140400","0","0","57200","15.483","6","0","495","1496","0","12064","15316","552","300","0","0","26","26"
"1","2","""full""","30","3000","1","false","50","""time-replenished""","true","0.1","5.9","20","true","10","1500","0.5","""local-patch-choice""","7","9485.099088150188","0","678600","1861200","0","1429200","18165028","0","58700","214344","0","0","60500","17.22","7","0","585","1551","0","14292","17774","587","458","0","0","26","29"
"1","2","""full""","30","3000","1","false","50","""time-replenished""","true","0.1","5.9","20","true","10","1500","0.5","""local-patch-choice""","8","9572.799469575462","0","783000","1861200","0","1679800","20069014","0","117600","292032","0","0","60500","18.95","8","0","675","1551","0","16798","19637","1176","624","0","0","26","29"
"1","2","""full""","30","3000","1","false","50","""time-replenished""","true","0.1","5.9","20","true","10","1500","0.5","""local-patch-choice""","9","9416.792522706968","0","887400","2050800","0","1905000","22369536","0","117600","351936","0","0","73700","20.667","9","0","765","1709","0","19050","21888","1176","752","0","0","27","40"
