"BehaviorSpace results (NetLogo 5.3.1)"
"Paleoscape_v4.2.nlogo"
"experiment1"
"04/06/2017 10:15:31:587 -0700"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"0","779","0","539"
"[run number]","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5"
"walk-speed","2",,,,,,,,,,,,,,,,"2",,,,,,,,,,,,,,,,"2",,,,,,,,,,,,,,,,"2",,,,,,,,,,,,,,,,"2",,,,,,,,,,,,,,,
"map-zone","""full""",,,,,,,,,,,,,,,,"""full""",,,,,,,,,,,,,,,,"""full""",,,,,,,,,,,,,,,,"""full""",,,,,,,,,,,,,,,,"""full""",,,,,,,,,,,,,,,
"nragents","30",,,,,,,,,,,,,,,,"30",,,,,,,,,,,,,,,,"30",,,,,,,,,,,,,,,,"30",,,,,,,,,,,,,,,,"30",,,,,,,,,,,,,,,
"max_kcal_to_harvest","3000",,,,,,,,,,,,,,,,"3000",,,,,,,,,,,,,,,,"3000",,,,,,,,,,,,,,,,"3000",,,,,,,,,,,,,,,,"3000",,,,,,,,,,,,,,,
"days_of_foresight","1",,,,,,,,,,,,,,,,"1",,,,,,,,,,,,,,,,"1",,,,,,,,,,,,,,,,"1",,,,,,,,,,,,,,,,"1",,,,,,,,,,,,,,,
"plots?","true",,,,,,,,,,,,,,,,"true",,,,,,,,,,,,,,,,"true",,,,,,,,,,,,,,,,"true",,,,,,,,,,,,,,,,"true",,,,,,,,,,,,,,,
"vision-camp","50",,,,,,,,,,,,,,,,"50",,,,,,,,,,,,,,,,"50",,,,,,,,,,,,,,,,"50",,,,,,,,,,,,,,,,"50",,,,,,,,,,,,,,,
"display-mode","""time-replenished""",,,,,,,,,,,,,,,,"""time-replenished""",,,,,,,,,,,,,,,,"""time-replenished""",,,,,,,,,,,,,,,,"""time-replenished""",,,,,,,,,,,,,,,,"""time-replenished""",,,,,,,,,,,,,,,
"global-knowledge?","true",,,,,,,,,,,,,,,,"true",,,,,,,,,,,,,,,,"true",,,,,,,,,,,,,,,,"true",,,,,,,,,,,,,,,,"true",,,,,,,,,,,,,,,
